ioc,type,desc
https://shorturl.at/bCJL3,url,url shortener
https://m6z39j.s3.sa-east-1.amazonaws.com/outLookExtractor.txt,url,final url
http://ec2-18-231-147-57.sa-east-1.compute.amazonaws.com/generals/postList.php?cid=bmb,url,extacted e-mail url
y4.ex1.duoluar.family,domain,domain
y.ex1.duoluar.family,domain,domain
c2.dr3.diamantina.family,domain,domain
c3.dr1.diamantina.family,domain,domain
c2.dr2.diamantina.family,domain,domain
c4.dr4.diamantina.family,domain,domain
c.dr4.diamantina.family,domain,domain
c1.dr2.diamantina.family,domain,domain
c1.dr4.diamantina.family,domain,domain
c.dr2.diamantina.family,domain,domain
c2.dr4.diamantina.family,domain,domain
c3.dr4.diamantina.family,domain,domain
c.dr1.diamantina.family,domain,domain
c4.dr2.diamantina.family,domain,domain
c1.dr3.diamantina.family,domain,domain
c2.dr1.diamantina.family,domain,domain
c4.dr3.diamantina.family,domain,domain
y1.ex1.duoluar.family,domain,domain
y2.ex1.duoluar.family,domain,domain
y3.ex1.duoluar.family,domain,domain
c4.dr1.diamantina.family,domain,domain
c3.dr2.diamantina.family,domain,domain
c3.dr3.diamantina.family,domain,domain
c.dr3.diamantina.family,domain,domain
y4.ex5.duoluar.family,domain,domain
y2.ex5.duoluar.family,domain,domain
y2.ex3.duoluar.family,domain,domain
y3.ex3.duoluar.family,domain,domain
y4.ex3.duoluar.family,domain,domain
y3.ex5.duoluar.family,domain,domain
y.ex3.duoluar.family,domain,domain
y1.ex3.duoluar.family,domain,domain
y.ex4.duoluar.family,domain,domain
y.ex5.duoluar.family,domain,domain
c1.dr5.diamantina.family,domain,domain
y1.ex5.duoluar.family,domain,domain
y3.ex4.duoluar.family,domain,domain
y4.ex2.duoluar.family,domain,domain
y2.ex4.duoluar.family,domain,domain
y1.ex2.duoluar.family,domain,domain
c.dr5.diamantina.family,domain,domain
y1.ex4.duoluar.family,domain,domain
c3.dr5.diamantina.family,domain,domain
y4.ex4.duoluar.family,domain,domain
y.ex2.duoluar.family,domain,domain
c2.dr5.diamantina.family,domain,domain
y2.ex2.duoluar.family,domain,domain
y3.ex2.duoluar.family,domain,domain
c4.dr5.diamantina.family,domain,domain
c4.dr4.diamantina.family,domain,domain
c3.dr4.diamantina.family,domain,domain
c2.dr4.diamantina.family,domain,domain
y.ex1.duoluar.family,domain,domain
c.dr4.diamantina.family,domain,domain
y1.ex1.duoluar.family,domain,domain
c4.dr5.diamantina.family,domain,domain
y3.ex1.duoluar.family,domain,domain
y3.ex3.duoluar.family,domain,domain
c3.dr5.diamantina.family,domain,domain
c.dr3.diamantina.family,domain,domain
y3.ex4.duoluar.family,domain,domain
c1.dr5.diamantina.family,domain,domain
c3.dr2.diamantina.family,domain,domain
y2.ex1.duoluar.family,domain,domain
c1.dr2.diamantina.family,domain,domain
y4.ex3.duoluar.family,domain,domain
c1.dr3.diamantina.family,domain,domain
y3.ex5.duoluar.family,domain,domain
c.dr2.diamantina.family,domain,domain
y4.ex4.duoluar.family,domain,domain
c4.dr1.diamantina.family,domain,domain
y1.ex3.duoluar.family,domain,domain
y1.ex5.duoluar.family,domain,domain
y2.ex4.duoluar.family,domain,domain
c2.dr1.diamantina.family,domain,domain
c3.dr1.diamantina.family,domain,domain
c1.dr4.diamantina.family,domain,domain
c2.dr5.diamantina.family,domain,domain
c3.dr3.diamantina.family,domain,domain
y2.ex3.duoluar.family,domain,domain
y.ex4.duoluar.family,domain,domain
y1.ex2.duoluar.family,domain,domain
y3.ex2.duoluar.family,domain,domain
y4.ex2.duoluar.family,domain,domain
y4.ex5.duoluar.family,domain,domain
c2.dr2.diamantina.family,domain,domain
y.ex5.duoluar.family,domain,domain
c.dr1.diamantina.family,domain,domain
c4.dr2.diamantina.family,domain,domain
y2.ex2.duoluar.family,domain,domain
y.ex3.duoluar.family,domain,domain
y2.ex5.duoluar.family,domain,domain
c2.dr3.diamantina.family,domain,domain
y.ex2.duoluar.family,domain,domain
c4.dr3.diamantina.family,domain,domain
c.dr5.diamantina.family,domain,domain
y1.ex4.duoluar.family,domain,domain
c1.dr1.diamantina.family,domain,domain
45.145.220.31,ip,ip
45.145.220.27,ip,ip
45.145.220.13,ip,ip
45145220151,ip,ip
45.145.220.15,ip,ip
45145220115,ip,ip
45145220150,ip,ip
45.145.220.22,ip,ip
45145220110,ip,ip
45145220148,ip,ip
45.145.220.5,ip,ip
45.145.220.14,ip,ip
45.145.220.3,ip,ip
45145220116,ip,ip
45.145.220.23,ip,ip
45145220105,ip,ip
45.145.220.2,ip,ip
45145220111,ip,ip
45.145.220.21,ip,ip
45145220113,ip,ip
45145220103,ip,ip
45145220109,ip,ip
45.145.220.19,ip,ip
45.145.220.20,ip,ip
45.145.220.28,ip,ip
45145220149,ip,ip
45.145.220.25,ip,ip
45145220114,ip,ip
45.145.220.16,ip,ip
45145220107,ip,ip
45145220118,ip,ip
45145220120,ip,ip
45145220121,ip,ip
45145220106,ip,ip
45.145.220.4,ip,ip
45145220102,ip,ip
45.145.220.17,ip,ip
45.145.220.6,ip,ip
45145220119,ip,ip
45145220112,ip,ip
45145220104,ip,ip
45.145.220.24,ip,ip
45145220117,ip,ip
45.145.220.26,ip,ip
45145220147,ip,ip
45145220108,ip,ip
45.145.220.18,ip,ip
45.145.220.16,ip,ip
45.145.220.12,ip,ip
45.145.220.24,ip,ip
45.145.220.20,ip,ip
45.145.220.4,ip,ip
45.145.220.31,ip,ip
45.145.220.27,ip,ip
45.145.220.3,ip,ip
45.145.220.28,ip,ip
45.145.220.2,ip,ip
45.145.220.29,ip,ip
45.145.220.30,ip,ip
45.145.220.17,ip,ip
45.145.220.6,ip,ip
45.145.220.23,ip,ip
45.145.220.19,ip,ip
45.145.220.26,ip,ip
45.145.220.13,ip,ip
45.145.220.14,ip,ip
45.145.220.15,ip,ip
45.145.220.21,ip,ip
45.145.220.5,ip,ip
45.145.220.25,ip,ip
45.145.220.18,ip,ip
45.145.220.22,ip,ip
45145220106,ip,ip
45145220104,ip,ip
45145220114,ip,ip
45145220115,ip,ip
45145220116,ip,ip
45145220105,ip,ip
45145220112,ip,ip
45145220113,ip,ip
45145220107,ip,ip
45145220102,ip,ip
45145220148,ip,ip
45145220103,ip,ip
45145220110,ip,ip
45145220121,ip,ip
45145220109,ip,ip
45145220118,ip,ip
45145220147,ip,ip
45145220108,ip,ip
45145220150,ip,ip
45145220111,ip,ip
45145220117,ip,ip
45145220149,ip,ip
45145220119,ip,ip
45145220120,ip,ip
45145220151,ip,ip
bf8964380ea5eea0b08c456fe737c6ff36f36eba50eb6dbc96ba93bc5b69106c,sha256,Curriculum.bat
87726270ca5868f65df706fb3c34a80e7d7c560a,sha1,Curriculum.bat
47a0a0d80d75b21644e55e6caf9ebce8,md5,Curriculum.bat
bf8964380ea5eea0b08c456fe737c6ff36f36eba50eb6dbc96ba93bc5b69106c,sha256,Foto.bat
87726270ca5868f65df706fb3c34a80e7d7c560a,sha1,Foto.bat
47a0a0d80d75b21644e55e6caf9ebce8,md5,Foto.bat
bf8964380ea5eea0b08c456fe737c6ff36f36eba50eb6dbc96ba93bc5b69106c,sha256,Larissa Mendes.bat
87726270ca5868f65df706fb3c34a80e7d7c560a,sha1,Larissa Mendes.bat
47a0a0d80d75b21644e55e6caf9ebce8,md5,Larissa Mendes.bat
