ioc,type,desc
88c7d9210157d610be0f4f445fc07d91,hash,careca.txt
a82e9836e7ef8a9d9e763a92bde427f522612546,hash,careca.txt
e7a5df8c3eacb4cba42b3de89e077cb44684dda0e2d5b8e1afeacbacc20a62a7,hash,careca.txt
c486f0d88c2be3bdfc83af121fe05c12,hash,venom.exe
f9b9769abeac4e909e1a5a863934db46da51e564,hash,venom.exe
5dde59261157d3594d459562fc15f7428b4ff92c14ce45ed47832ba13bfa857f,hash,venom.exe
51b62f5c13727f9900b7ca4b99a909af,hash,peste.jpg
24db931618a87049a3d52bfc2ac48369a921757c,hash,peste.jpg
f5c5dd896e1d50fa03d9ff40f9e16681b4845f59e8f6baf5861fe2743f010f77,hash,peste.jpg
d1fe994d91dd76991e966f448ec8a1c2,hash,Documentos.zip
1bf0a4529693a36a9511c2f23e7799612229202f,hash,Documentos.zip
c278a41489324a6f6d76d794b06d12460ef044f0a4d72587300cf896f49e4148,hash,Documentos.zip
83d079704c6926898ffdab1886b9781e,hash,Documento.chm
0d23c0d9ed645bd1a3e19963f0d810393f562bab,hash,Documento.chm
538fc8faaa0761ecb052850afb66d72a6a2d67d7f2a55b1c9c558fee0cd9bf,hash,Documento.chm
1f693038bf343b75b34dbbf7789534ad,hash,zar.hta
a06d619f2746ea6b5e09c353b8986d04b0a8ad88,hash,zar.hta
8481d582717502970ebdb0c5911dff4e88c180f747e0d1543ce6f58db9ad4c18,hash,zar.hta
20.206[.]200[.]95,ip,ip
191-217-239-143.user3p[.]brasiltelecom[.]net[.]br,domain,servidor de envio
