ioc,type,desc
https://onedrive[.]live[.]com/download?cid=FB5C5DB4B53601EB&resid=FB5C5DB4B53601EB%21253&authkey=AHbfPG-0KMxaMdU,url,url
https://2gyc2a[.]am[.]files[.]1drv[.]com/y4mPhWejm6SIr7eJOA6j_uCbFQvyfnvQAoTjS4Tyu7NrgkqPhtfkgJXDnytdElczFzY9fCUUL_v5Vp_XU3CA8qbB_ROZmjltg__ZuYxzZ0Z8zk-TggWdbCPD3YQgekpXmMmrQw2VFEPEXACCNLtG48Iv5sMR0n815JHQzgpZQ_JQGP2fuvaySZq48t6xsN2BHA5EIasz4xibaQorwsJQxLptQ/Hrmxorpryeoripfibzzaibaaafelqgb?download&psid=1,url,url
216[.]246.49.168,ip,ip
nweke.ddnsgeek.com,url,url
b6b258e81001b3ca308a0bbf45150ae1882d40e5ba4e73928bf4155f40303274,sha256,lista de pedidos de compra.exe
5fc1a78c7b69103d9d1722f75de9d872648f67e7,sha1,lista de pedidos de compra.exe
f7c7e28392092d38b7c4bc4fc770ad4c,md5,lista de pedidos de compra.exe
54d95d317704855382a5c0507e83fbb08080d017e047c799d9ebfe86d9dd9b58,sha256,Hrmxorpryeoripfibzzaibaaafelqgb
4f4aa018bd57facfdde2fcc77331d3030daa55a3,sha1,Hrmxorpryeoripfibzzaibaaafelqgb
d9f23f418d5db6260094fce81bdfd869,md5,Hrmxorpryeoripfibzzaibaaafelqgb
