ioc,type,desc
https://ptb[.]discord[.]com/api/webhooks/1092510606273290260/LfYEv3dAHKJHn4vnextowVa0boNhD28-M6CQWtRgPFC9RrrXICFovzzQWoMmCiRlJI6b,url,webhook
https://canary[.]discord[.]com/api/webhooks/1044783788879786114/F32-aQ4vucgAv4JRXAhb229O9fzLjRg7LEO2UgRAgXrQJYtCq7Hs-9O_abMulwjCToq1,url,webhook
130[.]185[.]238[.]251,ip,C&C
94acfa1e9b7d3fae4afbc550bce56853,MD5,warsawsecurity.exe
bc0780e8a6b64bc6e5fc27f70f42b9446e13ad3a,SHA1,warsawsecurity.exe
88d11c654b102bee01ac8d0b397ee3cc2091da5eb3b715bf26ff3687f0552211,SHA256,warsawsecurity.exe
7dff69f4a894a4b9729e1e71a344a084,MD5,warsawsecurity.exe (2)
c367493aceb23953e5c1aea90d45aedbf37a6e15,SHA1,warsawsecurity.exe (2)
7642dca5566da3677119d49ae13a225a7e18c48622508c15faf2eee224f909e8,SHA256,warsawsecurity.exe (2)
007488d8ecfa0fdc12078e8f49922178,MD5,caixa.exe
505d8cedb76ced545d3fde1a569ec9ffe3d8f671,SHA1,caixa.exe
d975d938b3ca26a81001fbe750a52bac6c005a1f2a2aff24e457af7e384bec50,SHA256,caixa.exe
d463110965f4646c0684019aba95856a,MD5,caixa.exe (2)
dc26a4560cec662835672cabd8e5ddeccea624d9,SHA1,caixa.exe (2)
618daed089a0293ef2b50926070536553219112b676effb96c17a1eb9c26982b,SHA256,caixa.exe (2)
