Ioc,Type,Desc
zeedinfintymexbrock[.]geekgalaxy[.]com,domain,C2
izt89bydzi[.]dynns[.]com,domain,C2
megaskigoldmex[.]dvrcam[.]info,domain,C2
kktkarotomx[.]dnsfor[.]me,domain,C2
rexsrupmoney979[.]ditchyourip[.]com,domain,C2
ikmidasgold[.]ddns[.]me,domain,C2
9mdxmex[.]damnserver[.]com,domain,C2
cinfintymex[.]geekgalaxy[.]com,domain,C2
minfintymexbr[.]geekgalaxy[.]com,domain,C2
jinfintymexbr[.]geekgalaxy[.]com,domain,C2
infintymexb[.]geekgalaxy[.]com,domain,C2
infintymex747[.]geekgalaxy[.]com,domain,C2
myinfintyme09[.]geekgalaxy[.]com,domain,C2
askmrpc747bm[.]mymediapc[.]net,domain,C2
jxjmrpc797bm[.]mydissent[.]net,domain,C2
dmrpc77bm[.]myactivedirectory[.]com,domain,C2
imrpc7987bm[.]mmafan[.]biz,domain,C2
hotdiamond777[.]loginto[.]me,domain,C2
irocketxmtm[.]hopto[.]me,domain,C2
myfunbmdablo99[.]hosthampster[.]com,domain,C2
j1d3c3mex[.]homesecuritypc[.]com,domain,C2
brockmex57[.]golffan[.]us,domain,C2
infintymexbrock[.]geekgalaxy[.]com,domain,C2
i89bydzi[.]dynns[.]com,domain,C2
skigoldmex[.]dvrcam[.]info,domain,C2
kakarotomx[.]dnsfor[.]me,domain,C2
disrupmoney979[.]ditchyourip[.]com,domain,C2
897midasgold[.]ddns[.]me,domain,C2
439mdxmex[.]damnserver[.]com,domain,C2
freelascdmx979[.]couchpotatofries[.]org,domain,C2
aigodmoney009[.]access[.]ly,domain,C2
hxxp://cnt-blackrock[.]geekgalaxy[.]com,url,url
6b035d9bf25704daa98470a49daaeca5a3f76a54a87659198c16a3eb5d8e4476,sha256,msedge_elf.dll
0f9ebf38d4fdb345b25a46944bdf46a1537bf98e,sha1,msedge_elf.dll
eb131b10b9bb13aa1f5dba891bbd0771,md5,msedge_elf.dll
0e9da39e7f8ab0c8f53b9230b5ca3ae4a0801b9d7e9c142093db936641d05ea7,sha256,Archivo3389DatosVwmVBodtknLouVProcesoVwmVBodtknLouVClient3389VwmVBodtknLouVVwmVBodtknLouV23506.exe
4a0260e7c6ccc9c1ddd5841e0da257000f877dde,sha1,Archivo3389DatosVwmVBodtknLouVProcesoVwmVBodtknLouVClient3389VwmVBodtknLouVVwmVBodtknLouV23506.exe
12040a15eff7c0acbc4f0ee6c588f6ce,md5,Archivo3389DatosVwmVBodtknLouVProcesoVwmVBodtknLouVClient3389VwmVBodtknLouVVwmVBodtknLouV23506.exe
92[.]223[.]93[.]153,Ip,Ip
92[.]223[.]93[.]142,Ip,Ip
92[.]223[.]93[.]141,Ip,Ip
92[.]223[.]93[.]138,Ip,Ip
92[.]223[.]93[.]137,Ip,Ip
45[.]135[.]229[.]28,Ip,Ip
45[.]135[.]229[.]25,Ip,Ip
45[.]135[.]229[.]24,Ip,Ip
45[.]135[.]229[.]21,Ip,Ip
45[.]135[.]229[.]19,Ip,Ip
193[.]36[.]181[.]89,Ip,Ip
193[.]36[.]181[.]88,Ip,Ip
193[.]36[.]181[.]85,Ip,Ip
188[.]166[.]239[.]132,Ip,Ip
188[.]166[.]236[.]123,Ip,Ip
188[.]166[.]221[.]223,Ip,Ip
188[.]166[.]221[.]194,Ip,Ip
159[.]65[.]30[.]164,Ip,Ip
159[.]65[.]29[.]55,Ip,Ip
157[.]245[.]96[.]25,Ip,Ip
157[.]245[.]202[.]208,Ip,Ip
157[.]245[.]198[.]136,Ip,Ip
157[.]245[.]196[.]154,Ip,Ip
128[.]199[.]145[.]95,Ip,Ip
128[.]199[.]145[.]18,Ip,Ip
128[.]199[.]145[.]141,Ip,Ip
128[.]199[.]145[.]126,Ip,Ip
128[.]199[.]145[.]103,Ip,Ip
128[.]199[.]144[.]239,Ip,Ip
procesos15[.]sunegocios[.]shop,Hostname,Hostname
procesos14[.]sunegocios[.]shop,Hostname,Hostname
procesos13[.]sunegocios[.]shop,Hostname,Hostname
procesos12[.]sunegocios[.]shop,Hostname,Hostname
procesos11[.]sunegocios[.]shop,Hostname,Hostname
procesos10[.]sunegocios[.]shop,Hostname,Hostname
procesos09[.]sunegocios[.]shop,Hostname,Hostname
procesos08[.]sunegocios[.]shop,Hostname,Hostname
procesos07[.]sunegocios[.]shop,Hostname,Hostname
procesos06[.]sunegocios[.]shop,Hostname,Hostname
procesos05[.]sunegocios[.]shop,Hostname,Hostname
procesos02[.]sunegocios[.]shop,Hostname,Hostname
procesos01[.]sunegocios[.]shop,Hostname,Hostname
fgrmxn13[.]ingenariamax[.]one,Hostname,Hostname
fgrmxn12[.]ingenariamax[.]one,Hostname,Hostname
fgrmxn11[.]ingenariamax[.]one,Hostname,Hostname
fgrmxn10[.]ingenariamax[.]one,Hostname,Hostname
fgrmxn09[.]ingenariamax[.]one,Hostname,Hostname
fgrmxn08[.]ingenariamax[.]one,Hostname,Hostname
fgrmxn07[.]ingenariamax[.]one,Hostname,Hostname
fgrmxn06[.]ingenariamax[.]one,Hostname,Hostname
fgrmxn05[.]ingenariamax[.]one,Hostname,Hostname
fgrmxn04[.]ingenariamax[.]one,Hostname,Hostname
fgrmxn03[.]ingenariamax[.]one,Hostname,Hostname
fgrmxn02[.]ingenariamax[.]one,Hostname,Hostname
fgrmxn01[.]ingenariamax[.]one,Hostname,Hostname
cdn05[.]minegocios[.]cloud,Hostname,Hostname
cdn04[.]minegocios[.]cloud,Hostname,Hostname
cdn02[.]minegocios[.]cloud,Hostname,Hostname
