ioc,type,desc
file[:]///%22http[:]//crepaldiconsultoriarh[.]com/Br-28?E4O38AK65I5M38AL62C3M27DRYDWIPDF257478?upn=O2sw8NkhhRVChOFX-2B5RdID0cTxG-2F1bRAPu6OxaNPFbZd2sF0042LqeRE9HnYMxKid_fa_mSdDBAW1x88ry1ia-2BQGEI2oQA93LTUAYe4qcgKpqWBxlh-2Fy70tCHKYe-2FB3f9-2BVfp5oeKzpNT9IOs5T1fX-2B9vG4ej7C2-2BdEHxtsGOrTS-2Ba5vJfuTqTli3ba23v0z7WYQTcuiocbRbqrVxjZEY3NGgfpk-2BnMj-2BXf2UNgrJGbWZNaTlXf2OGh5ptTm5vedvnrgQxPeEed3zXlBzTAankpaiUIZ-2F0DPMVYC9SiWGJz3r6QWBm-2FvgeBzn6WQep3yOkaTDTFJf-2FxFBm4kRyHV1IwJKsTlX48dZWvuyiFTkrega1lb234AzXjX21eZPNijA-2B3mV0SE5p5E2rIMgo-2BBG7gaCTQ-3D-3D\%22,url,URL
http://192[.]99[.]111[.]227[:]44311/pxxxxx2[.]zip,url,url
09c85108d47a9b199e55e6b4bf476ac2,md5,BrDC20.215.msi
a1d4371b7e9cb0c34ed78a0df7dd209a,md5,Binary.mollys.dll
443f977e162fcd3c7af475dcaa077322,md5,dbghelp.dll
cc2c7c9cdd4d7c1904458fdd944b0bb0,md5,zlibai.dll
990b882bfec7d139bfad7a8dd200621d,md5,pxxxxx2.zip
2725fb28e5303dd77e417b5acb222a536b68f3be,sha1,BrDC20.215.msi
abb2a159193a6923b01c91328d59765be0df397e,sha1,Binary.mollys.dll
14c37a03a291a397fc4cec37958f3bc70b7fbcdb,sha1,dbghelp.dll
aadc8a089d1288e91e6ba9e095d37d30de3bbb18,sha1,zlibai.dll
50dd26cf86e3b17a6e0ae5118668b4a03fe7984e,sha1,pxxxxx2.zip
bf8c6d0b7bc479a59c90e05fb85fdda39584ff65ce6e0847ee86c73053c696b2,sha256,BrDC20.215.msi
f148ef1afae5109dec90e11740e218abfc05dce6ba1d7d43063f5da6687b1cc4,sha256,Binary.mollys.dll
10c68cac7bc37c316ef7126a26b813147fe84c9f9a094b60aef84a776d74edb4,sha256,dbghelp.dll
3f74387ec609daca8ec6a0c5a6986f39853a77ab7c414e6d6f950d285ca51f38,sha256,zlibai.dll
e9a78606d5040ea0b9f8ed8125e8a69b32cd6355b2e0dcfdf62dd892ceaa5659,sha256,pxxxxx2.zip
